ID,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7
000001,chiave.png,spada.png,mostro.png,scrigno.png,pozione.png,{n},diamante.png,pozione.png,chiave.png,diamante.png,trappola.png,mostro.png,spada.png,scrigno.png,spada.png,sfera.png,pozione.png,diamante.png,chiave.png,scrigno.png,mostro.png,diamante.png,mostro.png,{n},chiave.png,scrigno.png,pozione.png,spada.png,trappola.png,scrigno.png,chiave.png,mostro.png,spada.png,diamante.png,pozione.png,mostro.png,pozione.png,scrigno.png,spada.png,diamante.png,chiave.png,sfera.png,scrigno.png,diamante.png,spada.png,pozione.png,sfera.png,mostro.png,chiave.png
000002,mostro.png,pozione.png,diamante.png,chiave.png,sfera.png,spada.png,scrigno.png,trappola.png,spada.png,scrigno.png,pozione.png,diamante.png,mostro.png,chiave.png,pozione.png,scrigno.png,mostro.png,diamante.png,spada.png,chiave.png,sfera.png,spada.png,chiave.png,{n},scrigno.png,mostro.png,pozione.png,diamante.png,diamante.png,mostro.png,chiave.png,spada.png,scrigno.png,{n},pozione.png,scrigno.png,trappola.png,pozione.png,mostro.png,chiave.png,diamante.png,spada.png,chiave.png,diamante.png,spada.png,sfera.png,pozione.png,scrigno.png,mostro.png
000003,scrigno.png,mostro.png,spada.png,sfera.png,diamante.png,pozione.png,chiave.png,pozione.png,diamante.png,chiave.png,mostro.png,spada.png,trappola.png,scrigno.png,diamante.png,scrigno.png,{n},chiave.png,pozione.png,spada.png,mostro.png,mostro.png,chiave.png,pozione.png,spada.png,scrigno.png,diamante.png,sfera.png,sfera.png,spada.png,scrigno.png,diamante.png,chiave.png,mostro.png,pozione.png,spada.png,pozione.png,mostro.png,scrigno.png,{n},chiave.png,diamante.png,chiave.png,trappola.png,diamante.png,pozione.png,mostro.png,scrigno.png,spada.png
000004,chiave.png,{n},spada.png,scrigno.png,pozione.png,diamante.png,mostro.png,spada.png,scrigno.png,mostro.png,diamante.png,chiave.png,pozione.png,sfera.png,trappola.png,pozione.png,scrigno.png,chiave.png,mostro.png,spada.png,diamante.png,pozione.png,mostro.png,chiave.png,{n},diamante.png,scrigno.png,spada.png,diamante.png,spada.png,pozione.png,mostro.png,scrigno.png,trappola.png,chiave.png,mostro.png,diamante.png,sfera.png,pozione.png,spada.png,chiave.png,scrigno.png,scrigno.png,chiave.png,diamante.png,spada.png,sfera.png,mostro.png,pozione.png
000005,diamante.png,spada.png,chiave.png,sfera.png,pozione.png,mostro.png,scrigno.png,spada.png,mostro.png,sfera.png,pozione.png,diamante.png,scrigno.png,chiave.png,chiave.png,{n},spada.png,mostro.png,scrigno.png,pozione.png,diamante.png,mostro.png,scrigno.png,pozione.png,diamante.png,spada.png,chiave.png,trappola.png,scrigno.png,chiave.png,diamante.png,spada.png,mostro.png,sfera.png,pozione.png,pozione.png,diamante.png,scrigno.png,chiave.png,{n},spada.png,mostro.png,trappola.png,pozione.png,mostro.png,scrigno.png,chiave.png,diamante.png,spada.png
000006,{n},scrigno.png,pozione.png,mostro.png,spada.png,chiave.png,diamante.png,chiave.png,mostro.png,scrigno.png,spada.png,sfera.png,diamante.png,pozione.png,scrigno.png,chiave.png,{n},diamante.png,pozione.png,mostro.png,spada.png,diamante.png,spada.png,mostro.png,sfera.png,chiave.png,pozione.png,scrigno.png,pozione.png,trappola.png,spada.png,chiave.png,diamante.png,scrigno.png,mostro.png,spada.png,pozione.png,diamante.png,scrigno.png,mostro.png,trappola.png,chiave.png,mostro.png,diamante.png,chiave.png,pozione.png,scrigno.png,spada.png,sfera.png
000007,sfera.png,pozione.png,diamante.png,scrigno.png,chiave.png,spada.png,mostro.png,diamante.png,chiave.png,mostro.png,spada.png,scrigno.png,trappola.png,pozione.png,scrigno.png,diamante.png,spada.png,pozione.png,mostro.png,chiave.png,{n},spada.png,mostro.png,trappola.png,chiave.png,pozione.png,scrigno.png,diamante.png,chiave.png,{n},scrigno.png,mostro.png,diamante.png,pozione.png,spada.png,pozione.png,spada.png,chiave.png,diamante.png,sfera.png,mostro.png,scrigno.png,mostro.png,scrigno.png,pozione.png,sfera.png,spada.png,diamante.png,chiave.png
000008,pozione.png,diamante.png,{n},spada.png,mostro.png,scrigno.png,chiave.png,mostro.png,chiave.png,scrigno.png,diamante.png,{n},spada.png,pozione.png,chiave.png,spada.png,mostro.png,scrigno.png,pozione.png,sfera.png,diamante.png,diamante.png,scrigno.png,pozione.png,trappola.png,chiave.png,mostro.png,spada.png,scrigno.png,mostro.png,diamante.png,pozione.png,spada.png,chiave.png,sfera.png,trappola.png,pozione.png,spada.png,chiave.png,scrigno.png,diamante.png,mostro.png,spada.png,sfera.png,chiave.png,mostro.png,diamante.png,pozione.png,scrigno.png
000009,mostro.png,chiave.png,pozione.png,diamante.png,sfera.png,spada.png,scrigno.png,trappola.png,spada.png,scrigno.png,chiave.png,pozione.png,mostro.png,diamante.png,chiave.png,scrigno.png,mostro.png,pozione.png,spada.png,diamante.png,sfera.png,spada.png,diamante.png,{n},scrigno.png,mostro.png,chiave.png,pozione.png,pozione.png,mostro.png,diamante.png,spada.png,scrigno.png,{n},chiave.png,scrigno.png,trappola.png,chiave.png,mostro.png,diamante.png,pozione.png,spada.png,diamante.png,pozione.png,spada.png,sfera.png,chiave.png,scrigno.png,mostro.png
000010,pozione.png,spada.png,scrigno.png,diamante.png,{n},mostro.png,chiave.png,chiave.png,pozione.png,spada.png,mostro.png,scrigno.png,trappola.png,diamante.png,sfera.png,mostro.png,diamante.png,spada.png,chiave.png,pozione.png,scrigno.png,diamante.png,chiave.png,pozione.png,sfera.png,spada.png,scrigno.png,mostro.png,scrigno.png,trappola.png,mostro.png,pozione.png,diamante.png,chiave.png,spada.png,mostro.png,diamante.png,chiave.png,scrigno.png,pozione.png,spada.png,sfera.png,spada.png,scrigno.png,{n},chiave.png,mostro.png,diamante.png,pozione.png
